page_index;object_index;class_name;confidence;x1;y1;x2;y2
4;23;stem;0.317107;2281;609;2302;1014
4;24;seeding;0.675316;2704;662;2829;1197
4;24;stem;0.308199;2769;967;2785;1165
4;25;seeding;0.643458;2306;246;2484;1199
4;25;stem;0.291542;2307;262;2429;624
4;26;seeding;0.604757;2114;204;2215;1092
4;27;seeding;0.596591;333;213;460;1226
4;27;flower;0.893238;342;213;456;366
4;27;stem;0.347755;399;368;421;854
4;27;root;0.280319;371;965;458;1226
5;0;seeding;0.928406;1931;1506;3103;1760
5;1;seeding;0.897842;2109;1771;3171;2247
5;1;root;0.899377;2132;1775;2575;2130
5;2;seeding;0.864357;1856;195;2009;1027
5;2;stem;0.963706;1901;371;1953;705
5;2;flower;0.932282;1857;199;1995;369
5;2;root;0.483256;1935;696;1954;977
5;3;seeding;0.840565;330;106;495;956
5;3;flower;0.945995;330;122;491;340
5;3;stem;0.606352;395;343;407;682
5;4;seeding;0.791810;90;161;299;948
5;4;flower;0.949489;127;173;298;357
5;4;stem;0.478566;158;647;197;913
5;4;stem;0.273810;158;396;200;916
5;5;seeding;0.787730;2742;94;2949;1373
5;5;flower;0.936835;2742;95;2924;301
5;5;stem;0.744760;2827;301;2849;616
5;5;stem;0.278883;2744;610;2924;1359
5;6;seeding;0.783723;2024;66;2261;1127
5;6;flower;0.965747;2046;75;2260;313
5;6;root;0.945962;2045;656;2173;1100
5;6;stem;0.823140;2067;312;2101;640
5;7;seeding;0.779862;1096;84;1291;1199
5;7;flower;0.946618;1105;102;1289;374
5;7;stem;0.502152;1188;376;1207;768
5;7;stem;0.457393;1193;376;1208;613
5;8;seeding;0.746052;2991;138;3119;696
5;8;stem;0.822974;3055;321;3086;650
5;8;stem;0.568549;3066;325;3087;516
5;9;seeding;0.744205;452;144;766;1407
5;9;flower;0.907873;606;144;746;339
5;9;stem;0.723862;616;339;650;628
5;9;root;0.570507;460;620;746;1389
5;10;seeding;0.730049;1456;78;1650;1297
5;10;flower;0.919584;1456;90;1633;263
5;10;stem;0.866678;1555;260;1628;699
5;10;root;0.617610;1508;784;1641;1228
5;11;seeding;0.727038;2265;42;2422;1171
5;11;flower;0.934854;2269;59;2397;310
5;11;root;0.718352;2269;636;2405;1159
5;11;stem;0.587064;2335;312;2354;649
5;12;seeding;0.715118;2588;89;2723;1096
5;12;flower;0.916348;2601;93;2717;275
5;12;stem;0.764994;2640;277;2660;647
5;12;root;0.330992;2644;641;2706;1094
5;13;seeding;0.713763;1268;132;1489;1360
5;13;flower;0.883344;1268;141;1489;356
5;13;stem;0.536930;1373;644;1485;1332
5;13;stem;0.454921;1377;355;1404;661
5;14;seeding;0.713052;2449;138;2564;1085
5;14;flower;0.710491;2466;153;2538;307
5;14;stem;0.444623;2493;304;2523;512
5;14;stem;0.296291;2490;604;2525;1069
5;14;root;0.280484;2491;602;2525;1071
5;15;seeding;0.708846;1641;140;1859;1105
5;15;flower;0.949937;1641;151;1858;334
5;15;stem;0.787013;1732;328;1767;639
5;15;root;0.714458;1718;865;1796;1081
5;16;seeding;0.675831;947;212;1097;1257
5;16;root;0.601335;1006;677;1045;1216
5;16;stem;0.505024;1013;383;1026;676
5;16;flower;0.400888;989;231;1034;386
5;17;seeding;0.591381;762;180;903;1393
5;17;flower;0.895239;762;182;878;399
5;17;stem;0.490413;833;399;859;721
5;17;root;0.335523;802;940;855;1382
6;0;seeding;0.846985;1860;337;1972;872
6;0;flower;0.945697;1880;352;1971;470
6;0;stem;0.654604;1873;471;1901;731
6;0;root;0.646346;1874;728;1890;872
6;1;seeding;0.825872;2719;349;2848;958
6;1;flower;0.955319;2735;366;2848;534
6;1;root;0.808752;2762;774;2789;939
6;1;stem;0.723429;2745;536;2772;738
6;2;seeding;0.795797;2132;186;2348;1305
6;2;flower;0.928122;2198;194;2330;372
6;2;root;0.744981;2132;645;2227;1298
6;3;seeding;0.784672;2350;156;2528;1254
6;3;flower;0.904110;2381;160;2525;363
6;3;stem;0.529826;2350;794;2455;1247
6;3;stem;0.521857;2399;366;2427;632
6;4;seeding;0.757968;1962;399;2048;855
6;4;flower;0.926884;1976;412;2029;476
6;4;stem;0.737770;2014;568;2034;845
6;4;stem;0.328425;2010;477;2018;624
6;5;seeding;0.748046;2542;380;2683;1483
6;5;flower;0.691198;2542;400;2663;535
6;5;stem;0.557324;2589;516;2608;833
6;5;stem;0.487547;2590;516;2607;756
6;6;seeding;0.727473;273;190;440;1226
6;6;flower;0.944983;273;200;391;349
6;6;root;0.770938;328;676;437;1196
6;6;stem;0.697850;367;353;388;612
6;7;seeding;0.717175;99;207;263;1281
6;7;flower;0.940631;109;227;230;399
6;7;stem;0.656392;150;400;170;667
6;7;root;0.325492;145;667;262;1274
6;7;stem;0.310463;146;661;263;1275
6;8;seeding;0.710546;1232;143;1376;1327
6;8;flower;0.896487;1245;161;1333;329
6;8;root;0.621204;1298;679;1350;1300
6;8;stem;0.311378;1289;329;1309;766
6;9;seeding;0.706688;1355;128;1519;1363
6;9;flower;0.850241;1368;147;1467;303
6;9;stem;0.622895;1432;302;1455;748
6;10;seeding;0.699778;1675;227;1840;1212
6;10;flower;0.933678;1688;237;1802;389
6;10;root;0.781444;1729;779;1823;1210
6;10;stem;0.662035;1753;388;1771;614
6;11;seeding;0.699224;2847;459;2920;887
6;11;stem;0.712497;2862;613;2883;829
6;11;stem;0.702835;2861;562;2885;830
6;12;seeding;0.684337;1548;293;1676;1427
6;12;flower;0.856511;1561;296;1654;453
6;13;seeding;0.681418;1017;180;1201;1406
6;13;flower;0.900391;1019;190;1146;384
6;13;stem;0.724917;1119;382;1140;622
6;13;root;0.267030;1057;661;1186;1387
6;14;seeding;0.661943;472;191;608;1384
6;14;flower;0.886701;490;191;588;359
6;14;stem;0.585307;535;355;560;858
6;14;root;0.253789;503;780;570;1349
6;15;seeding;0.638320;802;270;940;1311
6;15;flower;0.947497;814;272;927;417
6;16;seeding;0.627011;605;179;759;1389
6;16;flower;0.825325;631;188;713;378
6;16;stem;0.539108;685;373;708;850
6;17;seeding;0.552908;931;201;1033;1354
6;17;flower;0.578963;944;203;1031;366
6;17;stem;0.493469;961;363;977;769
7;0;seeding;0.908525;1749;251;1907;943
7;0;flower;0.971534;1749;251;1888;420
7;0;stem;0.800163;1846;420;1884;619
7;0;stem;0.341594;1854;674;1875;924
7;1;seeding;0.898922;2449;2133;3032;2267
7;1;root;0.771680;2881;2140;3031;2252
7;1;root;0.268567;2465;2216;2630;2239
7;2;seeding;0.861344;2156;1562;3165;1718
7;3;seeding;0.853766;2500;2022;3197;2157
7;3;root;0.849277;3007;2035;3196;2155
7;3;stem;0.647001;2672;2071;3017;2130
7;3;stem;0.454510;2704;2074;3018;2092
7;4;seeding;0.847372;1236;2032;1994;2178
7;4;root;0.607610;1759;2042;1993;2172
7;5;seeding;0.843299;1636;203;1771;835
7;5;flower;0.947241;1639;210;1726;359
7;5;stem;0.940095;1718;359;1763;655
7;5;stem;0.294745;1717;356;1762;553
7;6;seeding;0.840616;140;1685;1015;1834
7;6;root;0.930136;665;1686;1015;1827
7;6;stem;0.654873;140;1715;672;1759
7;6;stem;0.422296;207;1726;672;1754
7;7;seeding;0.832704;2177;1708;3171;1895
7;7;stem;0.284043;2510;1742;2996;1866
7;7;root;0.282321;2978;1710;3139;1831
7;8;seeding;0.827848;1436;1827;1999;1916
7;8;root;0.316904;1846;1847;1998;1910
7;9;seeding;0.820829;3100;177;3321;1142
7;9;root;0.867063;3101;621;3215;1096
7;10;seeding;0.815180;2393;1916;3075;2019
7;11;seeding;0.806507;2283;427;2419;1045
7;11;flower;0.910971;2292;443;2406;576
7;11;stem;0.876085;2347;577;2374;846
7;12;seeding;0.805757;1378;1912;1970;2039
7;12;root;0.676275;1819;1911;1969;2027
7;12;stem;0.613674;1581;1962;1833;1989
7;12;stem;0.415223;1389;1959;1588;1981
7;13;seeding;0.803566;2868;180;3110;1178
7;13;root;0.835807;2911;707;3003;1167
7;13;stem;0.798671;2967;338;3002;723
7;13;flower;0.470866;2987;190;3110;339
7;14;seeding;0.803011;1407;1591;1970;1722
7;14;stem;0.953276;1508;1612;1829;1661
7;14;root;0.638762;1815;1619;1969;1721
7;15;seeding;0.796755;2564;99;2734;1097
7;15;stem;0.897124;2564;136;2668;624
7;15;root;0.850475;2634;624;2731;1059
7;16;seeding;0.784172;2080;238;2218;956
7;16;flower;0.953763;2096;248;2202;388
7;16;stem;0.863727;2139;389;2156;728
7;17;seeding;0.764501;758;209;880;1097
7;17;flower;0.905644;781;209;876;347
7;17;stem;0.718258;804;352;816;612
7;17;root;0.367905;781;612;812;1076
7;18;seeding;0.757525;1299;1710;1925;1793
7;18;stem;0.734960;1320;1738;1594;1764
7;18;root;0.422505;1787;1710;1925;1780
7;19;seeding;0.751321;618;171;767;1233
7;19;flower;0.916514;651;173;740;351
7;19;stem;0.620191;696;350;715;614
7;19;stem;0.276861;696;350;715;731
7;20;seeding;0.746705;1999;238;2085;862
7;20;flower;0.860272;1999;250;2082;393
7;21;seeding;0.721216;875;186;1081;1362
7;21;flower;0.932183;876;207;1057;372
7;21;stem;0.565914;947;375;966;634
7;21;root;0.501527;921;636;1055;1362
7;22;seeding;0.719732;2751;202;2869;1143
7;23;seeding;0.711787;2464;188;2582;1132
7;23;flower;0.516906;2475;189;2562;366
7;23;stem;0.506658;2503;366;2531;736
7;23;stem;0.480816;2504;370;2537;678
7;23;stem;0.397230;2504;370;2523;703
7;24;seeding;0.708355;1228;149;1390;1255
7;24;flower;0.766790;1240;157;1386;329
7;24;stem;0.718063;1286;328;1309;635
7;24;root;0.336848;1293;632;1323;1242
7;25;seeding;0.708203;1921;360;2044;893
7;25;stem;0.847148;1946;503;1984;786
7;25;flower;0.800020;1934;382;2043;567
7;26;seeding;0.620471;307;261;425;1155
7;26;flower;0.758527;321;281;407;379
7;26;stem;0.436389;376;379;388;613
7;27;seeding;0.606983;138;205;282;1143
7;27;flower;0.860078;156;236;234;342
7;27;root;0.733744;150;686;232;1137
7;27;stem;0.661954;208;342;229;594
7;28;seeding;0.599104;1108;172;1236;1301
7;28;flower;0.846230;1131;172;1235;344
7;28;stem;0.530969;1120;344;1158;742
7;28;flower;0.459803;1130;172;1236;345
7;29;seeding;0.371164;1349;239;1475;1240
7;29;stem;0.837901;1391;603;1442;1228
7;29;stem;0.642838;1400;349;1418;622
7;29;stem;0.329877;1395;615;1430;1235
8;0;seeding;0.846823;1178;728;1367;1764
8;0;flower;0.929368;1195;744;1316;920
8;0;root;0.755280;1193;1183;1357;1745
8;0;stem;0.650455;1283;918;1302;1337
8;1;seeding;0.840104;1525;723;1734;2207
8;1;flower;0.946459;1547;723;1714;939
8;2;seeding;0.817065;722;772;915;1858
8;2;root;0.885094;771;1295;844;1840
8;2;flower;0.879903;722;789;842;931
8;3;seeding;0.815842;2460;733;2633;1619
8;3;flower;0.962266;2460;760;2581;933
8;3;stem;0.690126;2542;934;2560;1196
8;3;root;0.635090;2533;1273;2633;1548
8;4;seeding;0.775129;1741;752;1909;1481
8;4;root;0.950593;1828;1302;1845;1452
8;4;flower;0.922812;1753;766;1893;954
8;4;stem;0.701986;1807;956;1851;1266
8;4;stem;0.318139;1806;957;1819;1114
8;5;seeding;0.726097;2810;726;2984;1838
8;5;stem;0.855903;2869;897;2912;1393
8;5;flower;0.788907;2844;728;2953;896
8;5;root;0.522335;2813;1372;2984;1826
8;6;seeding;0.724560;2073;985;2263;1633
8;7;seeding;0.711246;2646;742;2838;1730
8;7;flower;0.823014;2747;765;2835;927
8;7;stem;0.371705;2757;929;2780;1270
8;7;root;0.276762;2678;1186;2827;1685
8;8;seeding;0.705529;937;747;1086;1642
8;8;flower;0.930514;975;762;1053;881
8;8;root;0.928658;964;1179;1037;1618
8;8;stem;0.757387;1009;883;1026;1189
8;9;seeding;0.649575;2966;683;3179;1896
8;9;stem;0.893040;2966;692;3076;1338
8;9;root;0.769998;3066;1346;3170;1841
8;9;stem;0.355914;3034;811;3076;1343
8;10;seeding;0.594069;1922;1006;2077;1492
8;10;stem;0.712243;1924;1168;1958;1476
8;11;seeding;0.546769;2354;769;2476;1808
8;11;flower;0.854104;2388;769;2476;923
8;11;root;0.681386;2383;1173;2444;1782
8;11;flower;0.527790;2385;769;2476;925
8;11;stem;0.391806;2414;922;2437;1191
8;11;stem;0.322507;2411;922;2437;1315
8;12;seeding;0.436468;372;746;566;2177
8;12;flower;0.628929;402;753;539;898
8;12;stem;0.612675;477;898;500;1279
